ine_code;municipality;province;ccaa;year;deceased;injured_hospitalized;injured_not_hospitalized
03077;"Fondó de les Neus; el/Hondón de las Nieves";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03078;Hondón de los Frailes;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03079;Ibi;Alicante/Alacant;Comunitat Valenciana;2023;0;2;24
03080;Jacarilla;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03081;Xaló;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03082;Jávea/Xàbia;Alicante/Alacant;Comunitat Valenciana;2023;0;1;8
03083;Jijona/Xixona;Alicante/Alacant;Comunitat Valenciana;2023;0;1;2
03084;"Lorcha/Orxa; l'";Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03085;Llíber;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03086;Millena;Alicante/Alacant;Comunitat Valenciana;2023;;;
03088;Monforte del Cid;Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03089;Monóvar/Monòver;Alicante/Alacant;Comunitat Valenciana;2023;0;0;4
03090;Mutxamel;Alicante/Alacant;Comunitat Valenciana;2023;1;4;12
03091;Murla;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03092;Muro de Alcoy;Alicante/Alacant;Comunitat Valenciana;2023;0;1;9
03093;Novelda;Alicante/Alacant;Comunitat Valenciana;2023;0;2;39
03094;"Nucia; la";Alicante/Alacant;Comunitat Valenciana;2023;0;2;2
03095;Ondara;Alicante/Alacant;Comunitat Valenciana;2023;1;0;12
03096;Onil;Alicante/Alacant;Comunitat Valenciana;2023;0;1;10
03097;Orba;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03098;Orxeta;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03099;Orihuela;Alicante/Alacant;Comunitat Valenciana;2023;1;3;87
03100;Parcent;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03101;Pedreguer;Alicante/Alacant;Comunitat Valenciana;2023;0;0;19
03102;Pego;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03103;Penàguila;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03104;Petrer;Alicante/Alacant;Comunitat Valenciana;2023;0;0;34
03105;"Pinós; el/Pinoso";Alicante/Alacant;Comunitat Valenciana;2023;0;1;1
03106;Planes;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03107;Polop;Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03109;Rafal;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03110;"Ràfol d'Almúnia; el";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03111;Redován;Alicante/Alacant;Comunitat Valenciana;2023;0;0;19
