ine_code;province;autonomous_community;year;total_sanctions_with_points;total_points_deducted;speeding_two_points;speeding_three_points;speeding_four_points;speeding_six_points;alcohol_four_points;alcohol_six_points;drugs_six_points;helmet_seatbelt_child_restraint_system_three_points;helmet_seatbelt_child_restraint_system_four_points;helmet_seatbelt_child_restraint_system_six_points;mobile_phone_three_points;mobile_phone_four_points ;mobile_phone_six_points ;traffic_light_three_points;traffic_light_four_points;traffic_light_six_points;other_three_points;other_four_points;other_six_points
02039;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02040;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02041;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02042;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02043;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02044;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02045;Albacete;Castilla-La Mancha;2022;8;41;0;0;0;0;0;0;0;3;0;0;0;0;6;0;0;0;0;8;24
02046;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02047;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02048;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02049;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02050;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02051;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02052;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02053;Albacete;Castilla-La Mancha;2022;47;114;72;0;28;0;4;0;0;6;0;0;0;0;0;0;0;0;0;4;0
02054;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02055;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02056;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02057;Albacete;Castilla-La Mancha;2022;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
02058;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02059;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02060;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02061;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02062;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02063;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02064;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02065;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02066;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02067;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02068;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02069;Albacete;Castilla-La Mancha;2022;52;221;0;0;0;0;48;54;0;9;28;0;0;0;0;0;24;0;24;16;18
02070;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
